0300;230;
0301;230;
0302;230;
0303;230;
0304;230;
0305;230;
0306;230;
0307;230;
0308;230;
0309;230;
030A;230;
030B;230;
030C;230;
030D;230;
030E;230;
030F;230;
0310;230;
0311;230;
0312;230;
0313;230;
0314;230;
0315;232;
0316;220;
0317;220;
0318;220;
0319;220;
031A;232;
031B;216;
031C;220;
031D;220;
031E;220;
031F;220;
0320;220;
0321;202;
0322;202;
0323;220;
0324;220;
0325;220;
0326;220;
0327;202;
0328;202;
0329;220;
032A;220;
032B;220;
032C;220;
032D;220;
032E;220;
032F;220;
0330;220;
0331;220;
0332;220;
0333;220;
0334;1;
0335;1;
0336;1;
0337;1;
0338;1;
0339;220;
033A;220;
033B;220;
033C;220;
033D;230;
033E;230;
033F;230;
0340;230;
0341;230;
0342;230;
0343;230;
0344;230;
0345;240;
0346;230;
0347;220;
0348;220;
0349;220;
034A;230;
034B;230;
034C;230;
034D;220;
034E;220;
0350;230;
0351;230;
0352;230;
0353;220;
0354;220;
0355;220;
0356;220;
0357;230;
0358;232;
0359;220;
035A;220;
035B;230;
035C;233;
035D;234;
035E;234;
035F;233;
0360;234;
0361;234;
0362;233;
0363;230;
0364;230;
0365;230;
0366;230;
0367;230;
0368;230;
0369;230;
036A;230;
036B;230;
036C;230;
036D;230;
036E;230;
036F;230;
0483;230;
0484;230;
0485;230;
0486;230;
0487;230;
0591;220;
0592;230;
0593;230;
0594;230;
0595;230;
0596;220;
0597;230;
0598;230;
0599;230;
059A;222;
059B;220;
059C;230;
059D;230;
059E;230;
059F;230;
05A0;230;
05A1;230;
05A2;220;
05A3;220;
05A4;220;
05A5;220;
05A6;220;
05A7;220;
05A8;230;
05A9;230;
05AA;220;
05AB;230;
05AC;230;
05AD;222;
05AE;228;
05AF;230;
05B0;10;
05B1;11;
05B2;12;
05B3;13;
05B4;14;
05B5;15;
05B6;16;
05B7;17;
05B8;18;
05B9;19;
05BA;19;
05BB;20;
05BC;21;
05BD;22;
05BF;23;
05C1;24;
05C2;25;
05C4;230;
05C5;220;
05C7;18;
0610;230;
0611;230;
0612;230;
0613;230;
0614;230;
0615;230;
0616;230;
0617;230;
0618;30;
0619;31;
061A;32;
064B;27;
064C;28;
064D;29;
064E;30;
064F;31;
0650;32;
0651;33;
0652;34;
0653;230;
0654;230;
0655;220;
0656;220;
0657;230;
0658;230;
0659;230;
065A;230;
065B;230;
065C;220;
065D;230;
065E;230;
065F;220;
0670;35;
06D6;230;
06D7;230;
06D8;230;
06D9;230;
06DA;230;
06DB;230;
06DC;230;
06DF;230;
06E0;230;
06E1;230;
06E2;230;
06E3;220;
06E4;230;
06E7;230;
06E8;230;
06EA;220;
06EB;230;
06EC;230;
06ED;220;
0711;36;
0730;230;
0731;220;
0732;230;
0733;230;
0734;220;
0735;230;
0736;230;
0737;220;
0738;220;
0739;220;
073A;230;
073B;220;
073C;220;
073D;230;
073E;220;
073F;230;
0740;230;
0741;230;
0742;220;
0743;230;
0744;220;
0745;230;
0746;220;
0747;230;
0748;220;
0749;230;
074A;230;
07EB;230;
07EC;230;
07ED;230;
07EE;230;
07EF;230;
07F0;230;
07F1;230;
07F2;220;
07F3;230;
0816;230;
0817;230;
0818;230;
0819;230;
081B;230;
081C;230;
081D;230;
081E;230;
081F;230;
0820;230;
0821;230;
0822;230;
0823;230;
0825;230;
0826;230;
0827;230;
0829;230;
082A;230;
082B;230;
082C;230;
082D;230;
0859;220;
085A;220;
085B;220;
08E4;230;
08E5;230;
08E6;220;
08E7;230;
08E8;230;
08E9;220;
08EA;230;
08EB;230;
08EC;230;
08ED;220;
08EE;220;
08EF;220;
08F0;27;
08F1;28;
08F2;29;
08F3;230;
08F4;230;
08F5;230;
08F6;220;
08F7;230;
08F8;230;
08F9;220;
08FA;220;
08FB;230;
08FC;230;
08FD;230;
08FE;230;
08FF;230;
093C;7;
094D;9;
0951;230;
0952;220;
0953;230;
0954;230;
09BC;7;
09CD;9;
0A3C;7;
0A4D;9;
0ABC;7;
0ACD;9;
0B3C;7;
0B4D;9;
0BCD;9;
0C4D;9;
0C55;84;
0C56;91;
0CBC;7;
0CCD;9;
0D4D;9;
0DCA;9;
0E38;103;
0E39;103;
0E3A;9;
0E48;107;
0E49;107;
0E4A;107;
0E4B;107;
0EB8;118;
0EB9;118;
0EC8;122;
0EC9;122;
0ECA;122;
0ECB;122;
0F18;220;
0F19;220;
0F35;220;
0F37;220;
0F39;216;
0F71;129;
0F72;130;
0F74;132;
0F7A;130;
0F7B;130;
0F7C;130;
0F7D;130;
0F80;130;
0F82;230;
0F83;230;
0F84;9;
0F86;230;
0F87;230;
0FC6;220;
1037;7;
1039;9;
103A;9;
108D;220;
135D;230;
135E;230;
135F;230;
1714;9;
1734;9;
17D2;9;
17DD;230;
18A9;228;
1939;222;
193A;230;
193B;220;
1A17;230;
1A18;220;
1A60;9;
1A75;230;
